Name,Overall Usage
Metagross,15.55%
Azelf,9.89%
Infernape,14.15%
Jirachi,
Aerodactyl,
Swampert,15.27%
Bronzong,
Tyranitar,
Heatran,
Gengar,
Mamoswine,
Scizor,
Salamence,20.91%
Gyarados,
Latias,16.90%
Lucario,13.47%
Starmie,
Blissey,12.23%
Skarmory,11.13%
Machamp,10.49%
Gliscor,10.40%
Breloom,
Ferrothorn,
Politoed,
Dragonite,
Latios,
Garchomp,
Keldeo,
Alakazam,
Landorus,
Thundurus,
Volcarona,
Terrakion,
Kyurem,
