Name,Overall Usage
Venusaur,23.27%
Milotic,19.48%
Mismagius,16.49%
Uxie,14.87%
Registeel,14.08%
Arcanine,14.07%
Moltres,13.46%
Spiritomb,13.26%
Alakazam,13.18%
Rhyperior,12.32%
Hitmontop,11.80%
Donphan,11.59%
Rotom,11.41%
Sceptile,11.12%
Ambipom,10.92%
Houndoom,10.80%
Clefable,10.48%
Swellow,9.92%
Kabutops,9.39%
Dugtrio,8.81%
